Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
130,2019,Leevi Aaltonen,New York Rangers,5,6,RW,FIN,"5' 8""",68,177,FINLAND-JR.,Kalpa Jr.
131,2019,Rhett Pitlick,Montréal Canadiens,5,7,LW,USA,"5' 8""",68,160,HIGH-MN,Chaska
132,2019,Trevor Janicke,Anaheim Ducks,5,8,C,USA,"5' 10""",70,190,USHL,Central Illinois
133,2019,Carson Focht,Vancouver Canucks,5,9,C,CAN,"6' 0""",72,178,WHL,Calgary
134,2019,Harrison Blaisdell,Winnipeg Jets,5,10,C,GBR,"5' 11""",71,186,BCHL,Chilliwack
135,2019,Isaiah Saville,Vegas Golden Knights,5,11,G,USA,"6' 1""",73,198,USHL,Tri-City
136,2019,Henrik Rybinski,Florida Panthers,5,12,RW,CAN,"6' 0""",72,176,WHL,Seattle
137,2019,Owen Lindmark,Florida Panthers,5,13,C,USA,"6' 0""",72,193,NTDP,USA U-18
138,2019,Frederik Dichow,Montréal Canadiens,5,14,G,DNK,"6' 5""",77,191,DENMARK-2,Vojens
139,2019,Marcus Kallionkieli,Vegas Golden Knights,5,15,LW,FIN,"6' 2""",74,195,USHL,Sioux City
140,2019,Sasha Mutala,Colorado Avalanche,5,16,RW,CAN,"6' 0""",72,200,WHL,Tri-City
141,2019,Mason Primeau,Vegas Golden Knights,5,17,C,CAN,"6' 5""",77,205,OHL,North Bay
142,2019,Nicholas Porco,Dallas Stars,5,18,LW,CAN,"5' 11""",71,177,OHL,Saginaw
143,2019,Filip Cederqvist,Buffalo Sabres,5,19,LW,SWE,"6' 1""",73,187,SWEDEN,Vaxjo
144,2019,Logan Neaton,Winnipeg Jets,5,20,G,USA,"6' 3""",75,190,BCHL,Prince George
145,2019,Judd Caulfield,Pittsburgh Penguins,5,21,RW,USA,"6' 3""",75,205,NTDP,USA U-18
146,2019,Michael Koster,Toronto Maple Leafs,5,22,D,USA,"5' 8""",68,172,HIGH-MN,Chaska
147,2019,Reece Newkirk,New York Islanders,5,23,C,CAN,"5' 10""",70,172,WHL,Portland
148,2019,Ethan Haider,Nashville Predators,5,24,G,USA,"6' 2""",74,200,NAHL,MN Magicians
149,2019,Matvey Guskov,Minnesota Wild,5,25,C,RUS,"6' 1""",73,182,OHL,London
150,2019,Joshua Nodler,Calgary Flames,5,26,C,USA,"5' 11""",71,194,USHL,Fargo
151,2019,Aku Raty,Arizona Coyotes,5,27,RW,FIN,"5' 11""",71,170,FINLAND-JR.,Karpat Jr.
152,2019,Kirill Slepets,Carolina Hurricanes,5,28,RW,RUS,"5' 10""",70,165,RUSSIA-JR.,Yaroslavl 2
153,2019,Martin Has,Washington Capitals,5,29,D,CZE,"6' 4""",76,192,FINLAND-JR.,Tappara Jr.
154,2019,Roman Bychkov,Boston Bruins,5,30,D,RUS,"5' 11""",71,170,RUSSIA-JR.,Yaroslavl 2
155,2019,Keean Washkurak,St. Louis Blues,5,31,C,CAN,"5' 10""",70,184,OHL,Mississauga
156,2019,Arturs Silovs,Vancouver Canucks,6,1,G,LVA,"6' 4""",76,203,RUSSIA-JR.,Riga 2
