rt-td,rt-td 2,rt-td href,team-display-link href,team-logo src,team-name,rt-td 3,rt-td 4,rt-td 5,,rt-td 6,rt-td 7,rt-td 8,rt-td 9,rt-td 10,rt-td 11
39,Jackson LaCombe,https://www.nhl.com/player/jackson-lacombe-8481605,https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,Anaheim Ducks,2,8,D,D,USA,"6' 1""",187,HIGH-MN,Shattuck-St. Mary's,
40,Nils Hoglander,https://www.nhl.com/player/nils-hoglander-8481535,https://records.nhl.com/van/franchises/vancouver-canucks/draft-selections,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,Vancouver Canucks,2,9,LW,LW,SWE,"5' 9""",188,SWEDEN,Rogle,
41,Kaedan Korczak,https://www.nhl.com/player/kaedan-korczak-8481527,https://records.nhl.com/vgk/franchises/vegas-golden-knights/draft-selections,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,Vegas Golden Knights,2,10,PHI-SJS-VGK,,D,CAN,"6' 3""",WHL,Kelowna,194
42,Vladislav Firstov,https://www.nhl.com/player/vladislav-firstov-8481706,https://records.nhl.com/min/franchises/minnesota-wild/draft-selections,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,Minnesota Wild,2,11,LW,LW,RUS,"6' 0""",181,USHL,Waterloo,
43,Alex Vlasic,https://www.nhl.com/player/alex-vlasic-8481568,https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,Chicago Blackhawks,2,12,D,D,USA,"6' 5""",198,NTDP,USA U-18,
44,Jamieson Rees,https://www.nhl.com/player/jamieson-rees-8481579,https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,Carolina Hurricanes,2,13,FLA-SJS-OTT-CAR,,C,CAN,"5' 10""",OHL,Sarnia,182
45,Egor Afanasyev,https://www.nhl.com/player/egor-afanasyev-8481585,https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,Nashville Predators,2,14,ARI-PHI-NSH,,LW,RUS,"6' 3""",USHL,Muskegon,204
46,Jayden Struble,https://www.nhl.com/player/jayden-struble-8481593,https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,Montréal Canadiens,2,15,D,D,USA,"6' 0""",205,HIGH-MA,St. Sebastian's School,
47,Drew Helleson,https://www.nhl.com/player/drew-helleson-8481563,https://records.nhl.com/col/franchises/colorado-avalanche/draft-selections,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,Colorado Avalanche,2,16,D,D,USA,"6' 3""",194,NTDP,USA U-18,
48,Artemi Kniazev,https://www.nhl.com/player/artemi-kniazev-8481552,https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,San Jose Sharks,2,17,VGK-SJS,,D,RUS,"5' 10""",QMJHL,Chicoutimi,182
49,Matthew Robertson,https://www.nhl.com/player/matthew-robertson-8481525,https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,New York Rangers,2,18,DAL-NYR,,D,CAN,"6' 3""",WHL,Edmonton,200
50,Samuel Fagemo,https://www.nhl.com/player/samuel-fagemo-8481239,https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,Los Angeles Kings,2,19,CBJ-VGK-MTL-LAK,,LW,SWE,"6' 0""",SWEDEN,Frolunda,190
51,Simon Lundmark,https://www.nhl.com/player/simon-lundmark-8481547,https://records.nhl.com/wpg/franchises/winnipeg-jets/draft-selections,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,Winnipeg Jets,2,20,D,D,SWE,"6' 1""",197,SWEDEN-JR.,Linkoping Jr.,
52,Vladislav Kolyachonok,https://www.nhl.com/player/vladislav-kolyachonok-8481609,https://records.nhl.com/fla/franchises/florida-panthers/draft-selections,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,Florida Panthers,2,21,PIT-FLA,,D,BLR,"6' 1""",OHL,Flint,189
53,Nicholas Robertson,https://www.nhl.com/player/nicholas-robertson-8481582,https://records.nhl.com/tor/franchises/toronto-maple-leafs/draft-selections,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,Toronto Maple Leafs,2,22,LW,LW,USA,"5' 8""",162,OHL,Peterborough,
