"rt-td","rt-td 2","rt-td href","team-display-link href","team-logo src","team-name","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7","rt-td 8","rt-td 9","rt-td 10","rt-td 11"
"131","Matthew Morden","https://www.nhl.com/player/matthew-morden-8483729","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","5","2","D","CAN","6' 4""","203","HIGH-ON","St. Andrews College",""
"132","Frederic Brunet","https://www.nhl.com/player/frederic-brunet-8483017","https://records.nhl.com/bos/franchises/boston-bruins/draft-selections","https://assets.nhle.com/logos/nhl/svg/BOS_20092010-20222023_light.svg","Boston Bruins","5","3","SEA-BOS","D","CAN","6' 2""","QMJHL","Rimouski","176"
"133","Alex Bump","https://www.nhl.com/player/alex-bump-8483731","https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections","https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg","Philadelphia Flyers","5","4","LW","USA","6' 0""","195","HIGH-MN","Prior Lake",""
"134","Vsevolod Komarov","https://www.nhl.com/player/vsevolod-komarov-8483732","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","5","5","NJD-BUF","D","RUS","6' 2""","QMJHL","Quebec","182"
"135","Nikita Grebenkin","https://www.nhl.com/player/nikita-grebenkin-8483733","https://records.nhl.com/tor/franchises/toronto-maple-leafs/draft-selections","https://assets.nhle.com/logos/nhl/svg/TOR_light.svg","Toronto Maple Leafs","5","6","CHI-VGK-TOR","RW","RUS","6' 2""","RUSSIA-JR.","Magnitogorsk 2","183"
"136","Jorian Donovan","https://www.nhl.com/player/jorian-donovan-8483435","https://records.nhl.com/ott/franchises/ottawa-senators/draft-selections","https://assets.nhle.com/logos/nhl/svg/OTT_light.svg","Ottawa Senators","5","7","D","CAN","6' 1""","182","OHL","Hamilton",""
"137","Tnias Mathurin","https://www.nhl.com/player/tnias-mathurin-8483735","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","5","8","D","CAN","6' 2""","200","OHL","North Bay",""
"138","Sergei Ivanov","https://www.nhl.com/player/sergei-ivanov-8483738","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","5","9","BUF-VGK-SJS-CBJ","G","RUS","5' 11""","RUSSIA-JR.","SKA St. Petersburg 2","165"
"139","Connor Hvidston","https://www.nhl.com/player/connor-hvidston-8483744","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","5","10","LW","CAN","6' 2""","164","WHL","Swift Current",""
"140","Jake Furlong","https://www.nhl.com/player/jake-furlong-8483745","https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections","https://assets.nhle.com/logos/nhl/svg/SJS_light.svg","San Jose Sharks","5","11","SJS-MIN-SJS","D","CAN","6' 0""","QMJHL","Halifax","189"
"141","Petr Hauser","https://www.nhl.com/player/petr-hauser-8483747","https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg","New Jersey Devils","5","12","CBJ-NJD","RW","CZE","6' 3""","CZREP-JR.","Sparta Jr.","200"
"142","Matthew Maggio","https://www.nhl.com/player/matthew-maggio-8483062","https://records.nhl.com/nyi/franchises/new-york-islanders/draft-selections","https://assets.nhle.com/logos/nhl/svg/NYI_light.svg","New York Islanders","5","13","RW","CAN","5' 10""","186","OHL","Windsor",""
"143","Cameron O'Neill","https://www.nhl.com/player/cameron-o-neill-8483749","https://records.nhl.com/ott/franchises/ottawa-senators/draft-selections","https://assets.nhle.com/logos/nhl/svg/OTT_light.svg","Ottawa Senators","5","14","WPG-OTT","RW","USA","6' 0""","HIGH-RI","Mount St. Charles","182"
"144","Ty Young","https://www.nhl.com/player/ty-young-8483751","https://records.nhl.com/van/franchises/vancouver-canucks/draft-selections","https://assets.nhle.com/logos/nhl/svg/VAN_light.svg","Vancouver Canucks","5","15","G","CAN","6' 2""","181","WHL","Prince George",""
"145","Patrick Guay","https://www.nhl.com/player/patrick-guay-8483106","https://records.nhl.com/vgk/franchises/vegas-golden-knights/draft-selections","https://assets.nhle.com/logos/nhl/svg/VGK_light.svg","Vegas Golden Knights","5","16","C","CAN","5' 9""","169","QMJHL","Charlottetown",""
"146","Graham Sward","https://www.nhl.com/player/graham-sward-8482962","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","5","17","D","CAN","6' 2""","180","WHL","Spokane",""
